"AS18394","UPI-AS-ID Universitas Pendidikan Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1777,
"AS133357","IDNIC-TELU-AS-ID TELKOM UNIVERSITY",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1755,
"AS131769","IDNIC-MAYATAMA-AS-ID PT Mayatama Solusindo",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1725,
"AS131740","SMARTMEDIA-AS-ID PT Smart Media Pratama",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1711,
"AS38753","SOLUSINDO-AS-ID Solusindo Bintang Pratama, PT",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1692,
"AS63500","IDNIC-UNAND-AS-ID Lembaga Pengembangan Teknologi Informasi dan Komunikasi",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1689,
"AS17885","JKTXLNET-AS-AP PT Excelcomindo Pratama",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1618,
"AS38144","JALAWAVE-AS-ID PT Jalawave Cakrawala",{v: 0.19, f:'0.19%'},{v: 0.00, f: '0.00%'},1600,
"AS24213","ARSEN-AS-ID PT. Arsen Kusuma Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1592,
"AS38765","ESDM-AS-ID Departemen Energi dan Sumber Daya Mineral",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1531,
"AS24206","CHANNEL11-AS-ID PT Cakra Lintas Nusantara",{v: 0.26, f:'0.26%'},{v: 0.26, f: '0.26%'},1524,
"AS17671","ASN-JETCOMS JETCOMS-ID Autonomous system",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1460,
"AS45302","DESNET-AS-ID PT DES Teknologi Informasi",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1441,
"AS38515","GRAHAMEDIA-NET-AS-ID GRAHAMEDIA INFORMASI, PT.",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1440,
"AS23699","EZNET-AS-ID IP Teknologi Komunikasi, PT.",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1438,
"AS132676","IDNIC-UNSRI-AS-ID Universitas Sriwijaya",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1429,
"AS46049","UNDIP-AS-ID Universitas Diponegoro",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1413,
"AS9785","JASATELNET-AS-ID Jasa Terpadu Telematika (Jasatel)",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1404,
"AS58376","AKGU-AS-ID PT Angkasa Komunikasi Global Utama",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1374,
"AS58400","UNNES-AS-ID Universitas Negeri Semarang",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1322,
"AS46063","GRAHANET-AS-ID PT.Graha Telekomunikasi Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1315,
"AS45732","DEPKEU-AS-ID Pusat Sistem Informasi dan Teknologi Keuangan ( Pusintek )",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1314,
"AS56239","GASTRANET-AS-ID PT Graha Anugrah Sejahtera",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1302,
"AS9794","DNET-ID-AP PT. Core Mediatech (D-NET)",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1293,
"AS55668","JABARTELNET-AS-ID PT Jabar Telematika",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1292,
"AS55652","DASHNET-AS-ID Sumidhaz Permata Bunda, PT",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1264,
"AS24525","SAP-AS-ID PT Solusi Aksesindo Pratama",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1227,
